Var1 Var2 Var3 Var4 Var5 Var6
s1 4 6 s9 4 6
s4 4 6 s6 4 6
s4 4 6 s7 4 6
s4 4 6 s22 4 6
s5 4 6 s8 4 6
s5 4 6 s10 4 6
s5 4 6 s19 4 6
s6 4 6 s4 4 6
s6 4 6 s7 4 6
s7 4 6 s4 4 6
s7 4 6 s6 4 6
s8 4 6 s5 4 6
s8 4 6 s10 4 6
s8 4 6 s19 4 6
s9 4 6 s1 4 6
s9 4 6 s12 4 6
s10 4 6 s5 4 6
s10 4 6 s8 4 6
s10 4 6 s19 4 6
s12 4 6 s9 4 6
s12 4 6 s25 4 6
s12 4 6 s28 4 6
s13 4 6 s28 4 6
s16 4 6 s20 4 6
s16 4 6 s21 4 6
s17 4 6 s21 4 6
s17 4 6 s34 4 6
s19 4 6 s5 4 6
s19 4 6 s8 4 6
s19 4 6 s10 4 6
s20 4 6 s16 4 6
s20 4 6 s21 4 6
s21 4 6 s16 4 6
s21 4 6 s17 4 6
s21 4 6 s20 4 6
s21 4 6 s34 4 6
s22 4 6 s4 4 6
s25 4 6 s12 4 6
s25 4 6 s28 4 6
s28 4 6 s12 4 6
s28 4 6 s13 4 6
s28 4 6 s25 4 6
s29 4 6 s34 4 6
s34 4 6 s17 4 6
s34 4 6 s21 4 6
s34 4 6 s29 4 6
